,orig_index,raw_name,Manufacturer,Source,Head Size,Length,Strung Weight,Balance,Swingweight,Beam Width,Tip/Shaft,Composition,Power Level,Stiffness,String Pattern,Main Skip,String Tension,tw_url,Merged Beam Width,Balance (pts),Head Size (in),Strung Weight (oz),Beam Width (avg. mm),Power Level (0-2),Length (in),String Tension (avg. lbs.),Mains,Crosses,String Density (X/in2),ID,Distance,Model,url,Current/Old Models,link,Head Size (in) jittered,Strung Weight (oz) jittered,Beam Width (avg. mm) jittered,Balance (pts) jittered,String Density (X/in2) jittered,Swingweight jittered,Stiffness jittered,Head Size (in) normed,Strung Weight (oz) normed,Balance (pts) normed,Stiffness normed,Beam Width (avg. mm) normed,String Density (X/in2) normed,Swingweight normed,Name
0,6,Asics 109,Asics,TWRF,109 sq. in. / 703 sq. cm.,27.25 inches / 69.22 cm,10.30 oz / 292 g,1pts HH,313.0,25.5mm,25.0mm / 25.5mm,Graphite,Medium-High,75.0,14 Mains/21 Crosses,"6H,8H ONLY",50-60,,25.5mm/25.0mm / 25.5mm,1,109.0,10.3,25.333333333333332,1.5,27.25,55.0,14.0,21.0,2.697247706422018,0,0.0,109,https://www.ebay.com/sch/i.html?_nkw=Asics+109,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Asics+109),109.18408247071675,10.339802102973911,25.487941035387543,1.3866725582667156,2.713695210437816,313.44479966352,75.14590424358539,1.2857142857142858,-0.3333333333333333,0.5714285714285714,1.5,0.5238095238095235,-1.0711009174311923,-0.2631578947368421,Asics 109
1,7,Asics 116,Asics,TWRF,116 sq. in. / 748 sq. cm.,27.25 inches / 69.22 cm,9.50 oz / 269 g,1pts HH,288.0,27.5mm,27.5mm / 27.5mm,Graphite,Medium-High,74.0,16 Mains/22 Crosses,"8T & 6H,8H,10H",53-63,,27.5mm/27.5mm / 27.5mm,1,116.0,9.5,27.5,1.5,27.25,58.0,16.0,22.0,3.0344827586206895,1,0.0,116,https://www.ebay.com/sch/i.html?_nkw=Asics+116,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Asics+116),116.29230699999067,9.485972202720012,27.360388959499762,1.483554589869664,3.0117239752576705,288.3243233584507,74.40136398039056,2.2857142857142856,-0.8666666666666671,0.5714285714285714,1.3333333333333333,1.1428571428571428,-0.017241379310345403,-1.5789473684210527,Asics 116
2,8,Asics 125,Asics,TWRF,125 sq. in. / 806 sq. cm.,27.50 inches / 69.85 cm,9.60 oz / 272 g,4pts HH,308.0,28.5mm,28.0mm / 28.5mm,Graphite,High,74.0,16 Mains/22 Crosses,"8T & 6H,8H,10H",47-57,,28.5mm/28.0mm / 28.5mm,4,125.0,9.6,28.333333333333332,2.0,27.5,52.0,16.0,22.0,2.816,2,0.0,125,https://www.ebay.com/sch/i.html?_nkw=Asics+125,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Asics+125),125.12450721357575,9.57313499631196,28.66013533195817,3.6965687160064844,2.8509371712135763,308.4009544063352,73.66349868090924,3.5714285714285716,-0.8000000000000007,1.0,1.3333333333333333,1.3809523809523807,-0.7,-0.5263157894736842,Asics 125
3,9,Asics BZ 100 Racquet,Asics,TWRF,100 sq. in. / 645 sq. cm.,27.00 inches / 68.58 cm,11.50 oz / 326 g,4pts HL,313.0,26.0mm,24.0mm / 17.0mm,Graphite,Low-Medium,74.0,16 Mains/19 Crosses,"7T,9T,7H,9H",50-58,,26.0mm/24.0mm / 17.0mm,-4,100.0,11.5,22.333333333333332,0.5,27.0,54.0,16.0,19.0,3.04,3,0.0,BZ 100 Racquet,https://www.ebay.com/sch/i.html?_nkw=Asics+BZ+100+Racquet,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Asics+BZ+100+Racquet),100.15948053800072,11.530400613126783,22.177405488522947,-3.863942185906823,3.0747148395861683,313.4819670757609,74.25111759650044,0.0,0.4666666666666662,-0.14285714285714285,1.3333333333333333,-0.33333333333333365,0.0,-0.2631578947368421,Asics BZ 100 Racquet
4,10,Avery Avery M3 Power,Avery,TWRF,95 sq. in. / 613 sq. cm.,27.00 inches / 68.58 cm,12.50 oz / 354 g,6pts HL,344.0,20.0mm,20.0mm / 20.0mm,100% Graphite,Low-Medium,65.0,16 Mains/20 Crosses,"7T,9T,7H,9H",55-65,,20.0mm/20.0mm / 20.0mm,-6,95.0,12.5,20.0,0.5,27.0,60.0,16.0,20.0,3.3684210526315788,4,0.0,,https://www.ebay.com/sch/i.html?_nkw=Avery+Avery+M3+Power,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Avery+Avery+M3+Power),95.486787351464,12.497972313240608,19.684717821533358,-5.74616878420466,3.387303467811389,344.0379969720421,65.44400035375578,-0.7142857142857143,1.1333333333333329,-0.42857142857142855,-0.16666666666666666,-1.0,1.0263157894736825,1.368421052631579,Avery Avery M3 Power
5,11,Avery Avery M5 Oversize,Avery,TWRF,107 sq. in. / 690 sq. cm.,27.00 inches / 68.58 cm,12.20 oz / 346 g,10pts HL,327.0,20.0mm,20.0mm / 20.0mm,100% Graphite,Low,60.0,16 Mains/19 Crosses,"7T,9T,7H,9H",55-65,,20.0mm/20.0mm / 20.0mm,-10,107.0,12.2,20.0,0.0,27.0,60.0,16.0,19.0,2.8411214953271027,5,0.0,,https://www.ebay.com/sch/i.html?_nkw=Avery+Avery+M5+Oversize,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Avery+Avery+M5+Oversize),106.51070738224539,12.164075606633903,20.15611147594311,-9.591741638952959,2.883730446628326,326.5027537099109,60.34029944694568,1.0,0.9333333333333323,-1.0,-1.0,-1.0,-0.6214953271028038,0.47368421052631576,Avery Avery M5 Oversize
6,12,Avery Avery M3 Control,Avery,TWRF,95 sq. in. / 613 sq. cm.,27.00 inches / 68.58 cm,12.20 oz / 346 g,12pts HL,311.0,20.0mm,20.0mm / 20.0mm,100% Graphite,Low,60.0,16 Mains/20 Crosses,"7T,9T,7H,9H",55-65,,20.0mm/20.0mm / 20.0mm,-12,95.0,12.2,20.0,0.0,27.0,60.0,16.0,20.0,3.3684210526315788,6,0.0,,https://www.ebay.com/sch/i.html?_nkw=Avery+Avery+M3+Control,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Avery+Avery+M3+Control),95.26203825852029,12.24203096099252,20.46998892059336,-11.749937185183473,3.3782420546530116,310.73723356385227,59.97980170502497,-0.7142857142857143,0.9333333333333323,-1.2857142857142858,-1.0,-1.0,1.0263157894736825,-0.3684210526315789,Avery Avery M3 Control
7,13,Babolat Pure Storm Ltd GT ,Babolat,TWRF,95 sq. in. / 613 sq. cm.,27.00 inches / 68.58 cm,11.90 oz / 337 g,9pts HL,313.0,19.0mm,19.0mm / 19.0mm,Graphite/Tungsten,Low,59.0,18 Mains/20 Crosses,"9T,8H,10H",52-62,,19.0mm/19.0mm / 19.0mm,-9,95.0,11.9,19.0,0.0,27.0,57.0,18.0,20.0,3.789473684210526,7,0.0,Pure Storm Ltd GT,https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Storm+Ltd+GT+,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Storm+Ltd+GT+),95.38498306065038,11.887957339979511,19.410198248580006,-9.356972725520585,3.796639520379656,312.9898439455774,58.859423471845574,-0.7142857142857143,0.7333333333333331,-0.8571428571428571,-1.1666666666666667,-1.2857142857142858,2.342105263157892,-0.2631578947368421,Babolat Pure Storm Ltd GT 
8,14,Babolat Pure Storm Ltd.,Babolat,TWRF,95 sq. in. / 613 sq. cm.,27.00 inches / 68.58 cm,11.80 oz / 335 g,8pts HL,305.0,19.0mm,19.0mm / 19.0mm,Graphite Carbon Xtreme,Low,62.0,18 Mains/20 Crosses,"9T,8H,10H",50-62,,19.0mm/19.0mm / 19.0mm,-8,95.0,11.8,19.0,0.0,27.0,56.0,18.0,20.0,3.789473684210526,8,0.0,Pure Storm Ltd.,https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Storm+Ltd.,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Storm+Ltd.),94.51613319378136,11.83155837546449,18.728463219970354,-8.199624599113248,3.8122758567209236,305.34783275967675,61.90094887836438,-0.7142857142857143,0.6666666666666666,-0.7142857142857143,-0.6666666666666666,-1.2857142857142858,2.342105263157892,-0.6842105263157895,Babolat Pure Storm Ltd.
9,15,Babolat Pure Control 95,Babolat,TWRF,95 sq. in. / 613 sq. cm.,27.00 inches / 68.58 cm,11.90 oz / 337 g,7pts HL,313.0,19.0mm,19.0mm / 19.0mm,Graphite/Tungsten & Flex Carbon,Low,58.0,18 Mains/20 Crosses,"9T,8H,10H",52-62,,19.0mm/19.0mm / 19.0mm,-7,95.0,11.9,19.0,0.0,27.0,57.0,18.0,20.0,3.789473684210526,9,0.0,Pure Control 95,https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Control+95,Old Model,[eBay](https://www.ebay.com/sch/i.html?_nkw=Babolat+Pure+Control+95),94.74911957887223,11.851637653875263,19.12800635333843,-7.371133326965419,3.7743199530596594,312.88611817535974,57.6034923742153,-0.7142857142857143,0.7333333333333331,-0.5714285714285714,-1.3333333333333333,-1.2857142857142858,2.342105263157892,-0.2631578947368421,Babolat Pure Control 95
